Entity,Code,Year,Av_working_hours
Afghanistan,AFG,2011,13.100000381469727
Albania,ALB,2010,13.600000381469727
Algeria,DZA,2013,3.5999999046325684
Angola,AGO,2001,12.5
Armenia,ARM,2010,5.400000095367432
Azerbaijan,AZE,2005,14
Bangladesh,BGD,2006,9.800000190734863
Bangladesh,BGD,2013,32.0382194519043
Belarus,BLR,2012,2.299999952316284
Benin,BEN,2012,10.600000381469727
Bolivia,BOL,2009,17.600000381469727
Bolivia,BOL,2013,20.11952018737793
Bolivia,BOL,2015,23.440000534057617
Bosnia and Herzegovina,BIH,2006,3.700000047683716
Brazil,BRA,2011,18.799999237060547
Brazil,BRA,2013,16.994340896606445
Brazil,BRA,2014,16.104774475097656
Brazil,BRA,2015,14.770000457763672
Burkina Faso,BFA,2010,17.600000381469727
Burundi,BDI,2010,12.100000381469727
Cambodia,KHM,2012,17.700000762939453
Cameroon,CMR,2011,11.399999618530273
Central African Republic,CAF,2010,15.699999809265137
Chad,TCD,2010,6.300000190734863
Chad,TCD,2015,8.826437950134277
Chile,CHL,2012,7.900000095367432
Colombia,COL,2012,15.199999809265137
Colombia,COL,2014,14.346220016479492
Colombia,COL,2015,14.100000381469727
Congo,COG,2012,7.300000190734863
Costa Rica,CRI,2011,8
Costa Rica,CRI,2016,10.1899995803833
Cote d'Ivoire,CIV,2012,10
Democratic Republic of Congo,COD,2010,9
Democratic Republic of Congo,COD,2014,7.09810209274292
Dominican Republic,DOM,2009,14.100000381469727
Dominican Republic,DOM,2012,19.74884033203125
Dominican Republic,DOM,2014,7.636315822601318
Ecuador,ECU,2011,15.100000381469727
Ecuador,ECU,2015,10.843990325927734
Egypt,EGY,2009,18.799999237060547
El Salvador,SLV,2012,20.200000762939453
El Salvador,SLV,2013,20.012779235839844
Eswatini,SWZ,2010,4.099999904632568
Ethiopia,ETH,2011,18.799999237060547
Gabon,GAB,2012,7.5
Gambia,GMB,2008,13.399999618530273
Gambia,GMB,2015,10.300000190734863
Georgia,GEO,2006,4.900000095367432
Ghana,GHA,2006,13.699999809265137
Guatemala,GTM,2012,16.200000762939453
Guatemala,GTM,2014,31.09510040283203
Guatemala,GTM,2015,18.54952621459961
Guinea,GIN,2012,15.600000381469727
Guinea-Bissau,GNB,2006,12.899999618530273
Guinea-Bissau,GNB,2014,5.774469375610352
Haiti,HTI,2012,5.900000095367432
Honduras,HND,2013,15.699999809265137
Honduras,HND,2014,14.29734992980957
Indonesia,IDN,2010,14.399999618530273
Iraq,IRQ,2011,10.300000190734863
Jamaica,JAM,2011,1.899999976158142
Jordan,JOR,2007,25
Jordan,JOR,2016,15.539999961853027
Kazakhstan,KAZ,2006,6.699999809265137
Kenya,KEN,2000,9.399999618530273
Kenya,KEN,2009,32.708988189697266
Kyrgyzstan,KGZ,2007,13.699999809265137
Kyrgyzstan,KGZ,2014,12.831034660339355
Laos,LAO,2010,34.400001525878906
Lesotho,LSO,2000,8.5
Liberia,LBR,2010,22.399999618530273
Madagascar,MDG,2007,17.600000381469727
Malawi,MWI,2011,9.800000190734863
Malawi,MWI,2014,5.571660995483398
Malawi,MWI,2015,10.75
Mali,MLI,2013,16.299999237060547
Mauritania,MRT,2007,13
Mauritania,MRT,2011,18.809999465942383
Mexico,MEX,2011,14.5
Mexico,MEX,2013,13.652389526367188
Moldova,MDA,2009,7.099999904632568
Mongolia,MNG,2012,15.100000381469727
Mongolia,MNG,2013,13.681766510009766
Mozambique,MOZ,2008,12.899999618530273
Namibia,NAM,1999,34.29999923706055
Nepal,NPL,2008,16.399999618530273
Nepal,NPL,2014,8.815491676330566
Nicaragua,NIC,2010,16.799999237060547
Nicaragua,NIC,2012,14.134759902954102
Niger,NER,2012,7.199999809265137
Nigeria,NGA,2010,29.899999618530273
Nigeria,NGA,2011,7.029537200927734
North Macedonia,MKD,2011,2.299999952316284
Pakistan,PAK,2011,24.899999618530273
Panama,PAN,2012,12
Panama,PAN,2014,8.786138534545898
Paraguay,PRY,2005,31.5
Paraguay,PRY,2014,29.334320068359375
Peru,PER,2015,10.975333213806152
Philippines,PHL,2011,7.099999904632568
Romania,ROU,2000,10.100000381469727
Rwanda,RWA,2010,14.5
Rwanda,RWA,2011,12.260990142822266
Rwanda,RWA,2014,11.800000190734863
Senegal,SEN,2011,40.29999923706055
Senegal,SEN,2015,19.079450607299805
Serbia,SRB,2005,3.700000047683716
Serbia,SRB,2014,4.0508131980896
Sierra Leone,SLE,2013,8.399999618530273
Somalia,SOM,2006,26.100000381469727
Sri Lanka,LKA,2009,7.900000095367432
Sudan,SDN,2014,8.894153594970703
Syria,SYR,2006,12.199999809265137
Tajikistan,TJK,2005,13.100000381469727
Tanzania,TZA,2014,14.173760414123535
Thailand,THA,2005,8.300000190734863
Timor,TLS,2007,21.299999237060547
Togo,TGO,2010,16.200000762939453
Togo,TGO,2014,8.117086410522461
Trinidad and Tobago,TTO,2006,6.5
Tunisia,TUN,2012,3.5
Turkey,TUR,2006,14.800000190734863
Uganda,UGA,2012,10.600000381469727
Ukraine,UKR,2012,3
Uruguay,URY,2009,9.300000190734863
Uzbekistan,UZB,2005,4.199999809265137
Venezuela,VEN,2006,21.299999237060547
Venezuela,VEN,2013,16.289390563964844
Vietnam,VNM,2012,11.600000381469727
Yemen,YEM,2010,16.899999618530273
Zambia,ZMB,2008,4.199999809265137